Game,PlayID,Qtr,Time,Off,Situation,Description,DrivePlays,DriveYards,DriveTime,AwayScoreAfterDrive,HomeScoreAfterDrive,HomeTeam,AwayTeam,Week,GameID,Down,Distance,Yardline_100,GoalToGo,PlayType
1,380,2,00:20,DC,1st & 10 SEA 45,(Shotgun) C.Jones pass incomplete deep left to M.Dupre.,,,,,,DC,SEA,1,2020020800,1,10,45,0,pass
1,385,2,00:15,DC,2nd & 10 SEA 45,(Shotgun) C.Jones scrambles up the middle to SEA 37 for 8 yards (N.Temple),,,,,,DC,SEA,1,2020020800,2,10,45,0,pass
1,390,2,00:08,DC,3rd & 2 SEA 37,(No Huddle) C.Jones spiked the ball to stop the clock.,,,,,,DC,SEA,1,2020020800,3,2,37,0,pass
1,395,2,00:05,DC,4th & 2 SEA 37,(Field Goal) T.Rausa 54 yds field goal IS GOOD.,4,8,00:20,13,12,DC,SEA,1,2020020800,4,2,37,0,field goal
1,400,3,15:00,DC,,"E.Lacayo kickoff from SEA 30, 64 yds to DC 6. R.Ross to DC 22 for 64 yards (S.Johnson)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,405,3,14:53,DC,1st & 10 DC 22,(Shotgun) C.Jones pass incomplete short right to S.Cobbs.,,,,,,DC,SEA,1,2020020800,1,10,78,0,pass
1,410,3,14:35,DC,2nd & 10 DC 22,(Shotgun) J.Pressley rush left tackle to DC 36 for 14 yards (S.Johnson; N.Temple),,,,,,DC,SEA,1,2020020800,2,10,78,0,run
1,415,3,14:01,DC,1st & 10 DC 36,"(No Huddle, Shotgun) J.Pressley rush right tackle to DC 36 for 0 yards (N.Temple)",,,,,,DC,SEA,1,2020020800,1,10,64,0,run
1,420,3,13:25,DC,2nd & 10 DC 36,(Shotgun) J.Pressley rush right guard to DC 34 for -2 yards (S.Johnson),,,,,,DC,SEA,1,2020020800,2,10,64,0,run
1,425,3,12:50,DC,3rd & 12 DC 34,"(No Huddle, Shotgun) C.Jones pass deep left to E.Rogers to SEA 39 for 27 yards (C.Stribling)",,,,,,DC,SEA,1,2020020800,3,12,66,0,pass
1,430,3,12:07,DC,1st & 10 SEA 39,"(No Huddle, Shotgun) C.Jones pass deep right to K.Lee for 39 yards, TOUCHDOWN.",6,78,03:04,13,18,DC,SEA,1,2020020800,1,10,39,0,pass
1,435,3,11:56,DC,,1pt attempt successful. D.Pumphrey rush.,6,78,03:04,13,19,DC,SEA,1,2020020800,NA,NA,NA,NA,run
1,440,3,11:56,SEA,,"H.Niswander kickoff from DC 30, 55 yds to SEA 15. K.Reynolds to SEA 33 for 55 yards (S.Montgomery; K.Abdullah)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,445,3,11:52,SEA,1st & 10 SEA 33,J.Gardner rush left end to SEA 37 for 4 yards (K.Freeman),,,,,,DC,SEA,1,2020020800,1,10,67,0,run
1,450,3,11:22,SEA,2nd & 6 SEA 37,J.Gardner rush up the middle to SEA 43 for 6 yards (A.Tarpley; R.Moore),,,,,,DC,SEA,1,2020020800,2,6,63,0,run
1,455,3,10:42,SEA,1st & 10 SEA 43,"(Shotgun) B.Silvers pass short right to A.Proehl for 57 yards, TOUCHDOWN.",3,67,01:28,19,19,DC,SEA,1,2020020800,1,10,57,0,pass
1,460,3,10:28,SEA,,1pt attempt unsuccessful.,,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,extra point
1,465,3,10:28,DC,,"E.Lacayo kickoff from SEA 30 to end zone, Touchback Minor.",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,470,3,10:28,DC,1st & 10 DC 15,(Shotgun) J.Pressley rush up the middle to DC 16 for 1 yards (J.Thompson),,,,,,DC,SEA,1,2020020800,1,10,85,0,run
1,475,3,09:58,DC,2nd & 9 DC 16,"(No Huddle, Shotgun) J.Pressley rush right end to DC 14 for -2 yards (S.Johnson)",,,,,,DC,SEA,1,2020020800,2,9,84,0,run
1,480,3,09:14,DC,3rd & 11 DC 14,(Shotgun) C.Jones pass short right to J.Pressley to DC 29 for 15 yards (J.Clark; S.Williams),,,,,,DC,SEA,1,2020020800,3,11,86,0,pass
1,485,3,08:35,DC,1st & 10 DC 29,(Shotgun) D.Pumphrey rush left end to DC 34 for 5 yards (S.Williams),,,,,,DC,SEA,1,2020020800,1,10,71,0,run
1,490,3,08:06,DC,2nd & 5 DC 34,"(No Huddle, Shotgun) D.Pumphrey rush left end to DC 36 for 2 yards (M.Frazier)",,,,,,DC,SEA,1,2020020800,2,5,66,0,run
1,495,3,07:19,DC,,"PENALTY on DC. False start, 5 yards, enforced to DC 31.",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,no play
1,500,3,06:57,DC,3rd & 8 DC 31,(Shotgun) C.Jones pass incomplete.,,,,,,DC,SEA,1,2020020800,3,8,69,0,pass
1,505,3,06:36,DC,4th & 8 DC 31,"(Punt) H.Niswander punts, 56 yds to SEA 13. A.Proehl PENALTY on SEA. Illegal blindside block, 20 yards, enforced to SEA 10.",,,,,,DC,SEA,1,2020020800,4,8,69,0,punt
1,510,3,06:25,SEA,1st & 10 SEA 10,K.Farrow rush left guard to SEA 12 for 2 yards (S.Anau),,,,,,DC,SEA,1,2020020800,1,10,90,0,run
1,515,3,05:50,SEA,2nd & 8 SEA 12,(Shotgun) K.Farrow rush right guard to SEA 11 for -1 yards (A.Tarpley; S.Anau),,,,,,DC,SEA,1,2020020800,2,8,88,0,run
1,520,3,05:14,SEA,3rd & 9 SEA 11,(Shotgun) B.Silvers pass short left to K.Farrow to SEA 10 for -1 yards (J.Thurman),,,,,,DC,SEA,1,2020020800,3,9,89,0,pass
1,525,3,04:31,SEA,4th & 10 SEA 10,"(Punt) B.Miller punts, 44 yds to DC 46. E.Rogers to DC 45 for 44 yards (K.Queiro)",,,,,,DC,SEA,1,2020020800,4,10,90,0,punt
1,530,3,04:20,DC,1st & 10 DC 45,(Shotgun) C.Jones pass deep right to E.Rogers to SEA 35 for 20 yards (S.Williams),,,,,,DC,SEA,1,2020020800,1,10,55,0,pass
1,535,3,03:43,DC,1st & 10 SEA 35,(Shotgun) C.Jones pass incomplete.,,,,,,DC,SEA,1,2020020800,1,10,35,0,pass
1,540,3,03:09,DC,2nd & 10 SEA 35,(Shotgun) J.Pressley rush up the middle to SEA 31 for 4 yards (N.Temple),,,,,,DC,SEA,1,2020020800,2,10,35,0,run
1,545,3,02:37,DC,3rd & 6 SEA 31,(Shotgun) J.Pressley rush right end to SEA 31 for 0 yards (S.Williams),,,,,,DC,SEA,1,2020020800,3,6,31,0,run
1,550,3,01:51,DC,4th & 6 SEA 31,"(Shotgun) C.Jones pass deep left to R.Ross for 31 yards, TOUCHDOWN.",5,55,02:35,19,25,DC,SEA,1,2020020800,4,6,31,0,pass
1,555,3,01:45,DC,,1pt attempt unsuccessful.,,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,extra point
1,560,3,01:45,SEA,,"H.Niswander kickoff from DC 30, 66 yds to SEA 4. J.Santiago out of bounds at SEA 32 for 66 yards (T.Kinnel)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,565,3,01:38,SEA,1st & 10 SEA 32,B.Silvers pass incomplete deep right to C.Jeter (J.Thurman).,,,,,,DC,SEA,1,2020020800,1,10,68,0,pass
1,570,3,01:12,SEA,2nd & 10 SEA 32,(Shotgun) T.Williams rush left end out of bounds at SEA 38 for 6 yards (D.Grant),,,,,,DC,SEA,1,2020020800,2,10,68,0,run
1,575,3,00:37,SEA,3rd & 4 SEA 38,(Shotgun) B.Silvers pass short left to A.Proehl out of bounds at SEA 46 for 8 yards (C.Merritt),,,,,,DC,SEA,1,2020020800,3,4,62,0,pass
1,580,4,15:00,SEA,1st & 10 SEA 46,(Shotgun) B.Silvers pass short middle to T.Williams to DC 40 for 14 yards (R.Moore),,,,,,DC,SEA,1,2020020800,1,10,54,0,pass
1,585,4,14:23,SEA,1st & 10 DC 40,B.Silvers pass incomplete deep right to A.Moore.,,,,,,DC,SEA,1,2020020800,1,10,40,0,pass
1,590,4,13:58,SEA,2nd & 10 DC 40,(Shotgun) B.Silvers pass incomplete short middle to C.Jeter (J.Thurman).,,,,,,DC,SEA,1,2020020800,2,10,40,0,pass
1,595,4,13:34,SEA,3rd & 10 DC 40,(Shotgun) B.Silvers pass short left to T.Williams to DC 37 for 3 yards (C.Merritt),,,,,,DC,SEA,1,2020020800,3,10,40,0,pass
